,杭州市,桐庐县,淳安县,建德市,宁波市,象山县,宁海县,余姚市,慈溪市,温州市,永嘉县,平阳县,苍南县,文成县,泰顺县,瑞安市,乐清市,龙港市,嘉兴市,嘉善县,海盐县,海宁市,平湖市,桐乡市,湖州市,德清县,长兴县,安吉县,绍兴市,新昌县,诸暨市,嵊州市,金华市,武义县,浦江县,磐安县,兰溪市,义乌市,东阳市,永康市,衢州市,常山县,开化县,龙游县,江山市,舟山市,岱山县,嵊泗县,台州市,三门县,天台县,仙居县,温岭市,临海市,玉环市,丽水市,青田县,缙云县,遂昌县,松阳县,云和县,庆元县,景宁畲族自治县,龙泉市
杭州市,0.0,106.4,199.5,186.1,214.5,272.3,238.2,140.6,152.9,382.3,356.0,434.1,456.2,410.5,454.3,416.6,373.2,447.7,114.4,141.8,115.9,81.1,136.3,82.0,109.4,59.8,137.0,100.4,63.0,160.0,89.8,145.4,211.1,232.8,140.1,201.9,204.3,158.2,159.6,227.6,289.2,333.2,319.2,252.8,340.6,291.5,290.5,331.9,318.2,256.5,217.0,245.2,356.3,268.3,382.0,299.4,351.4,265.2,307.4,317.8,367.1,469.1,388.1,394.2
桐庐县,55.5,0.0,73.1,35.3,138.2,197.1,188.6,138.4,236.1,184.5,164.1,198.5,210.0,193.4,233.3,189.9,186.7,209.5,220.8,117.2,102.6,186.4,110.0,94.9,96.3,62.7,99.0,140.9,81.9,131.5,50.0,100.6,70.2,151.3,63.9,95.5,103.1,74.0,83.4,87.9,82.0,227.1,94.0,148.3,234.3,168.6,176.2,426.9,315.2,171.9,219.6,153.8,202.0,165.7,207.8,125.4,289.2,110.2,98.2,114.6,146.5,245.8,303.6,171.1
淳安县,199.5,99.0,0.0,41.3,376.6,411.0,351.0,314.0,335.1,362.3,342.0,394.0,403.5,340.4,356.3,385.9,377.9,404.5,311.5,339.6,314.7,280.6,335.8,278.1,261.9,206.1,267.5,194.8,235.0,270.9,175.5,259.7,124.7,164.2,126.2,224.8,90.3,158.4,182.3,189.3,109.7,141.0,120.4,98.7,157.2,462.5,473.1,525.7,381.3,352.4,296.0,276.5,399.4,330.7,403.3,229.5,305.3,220.2,172.8,203.8,260.7,331.8,286.2,256.2
建德市,85.0,35.4,49.9,0.0,167.7,218.7,201.5,168.0,309.9,179.9,159.5,192.1,203.6,164.3,204.2,185.4,182.1,204.7,300.4,146.8,132.2,266.2,139.6,124.5,126.7,93.2,129.5,202.4,111.5,161.1,79.6,113.5,48.8,124.5,88.9,107.7,51.4,69.0,79.7,79.6,53.0,147.3,65.2,76.1,155.3,198.2,205.8,502.8,340.5,184.7,257.0,167.2,197.5,166.2,203.2,117.2,267.0,102.0,69.1,85.5,117.4,216.7,255.6,142.0
宁波市,95.4,130.9,197.9,160.9,0.0,88.5,92.6,38.8,73.6,175.0,180.7,189.0,200.5,211.6,253.5,180.4,173.8,200.0,194.1,101.9,99.9,174.3,100.2,108.4,139.7,122.2,144.6,309.2,78.1,92.1,103.5,103.7,144.3,308.3,260.3,113.7,332.5,115.1,112.2,162.2,181.8,480.0,209.3,382.4,474.4,64.9,72.4,187.3,202.5,90.5,149.1,128.6,128.2,104.8,150.5,198.3,346.5,184.6,198.1,200.0,194.9,344.0,427.9,266.8
象山县,272.3,320.2,411.0,375.9,72.6,0.0,71.3,139.6,144.9,300.7,279.8,357.8,389.3,383.7,449.5,334.3,261.5,370.7,265.8,263.6,220.1,243.2,235.0,269.2,349.2,326.2,382.7,370.7,209.4,140.2,238.5,151.4,330.2,314.5,287.2,218.2,353.2,262.4,238.6,282.9,446.3,498.4,505.7,399.7,488.3,97.9,141.1,224.5,151.7,92.8,137.2,196.6,197.3,147.6,242.2,330.2,321.0,292.9,406.1,388.3,405.1,514.9,411.8,462.4
宁海县,238.2,266.0,351.0,313.9,99.1,71.3,0.0,131.2,149.0,240.8,217.8,299.3,330.0,318.1,382.7,276.1,206.4,312.7,261.9,267.3,218.0,230.8,239.2,256.3,330.6,296.5,363.4,338.5,176.7,84.1,185.5,98.1,262.0,244.2,225.2,147.9,287.0,197.1,172.8,212.2,378.3,430.3,439.6,331.8,418.9,161.9,199.4,281.4,105.4,31.1,66.1,125.9,152.9,82.8,194.2,259.1,253.9,221.7,335.2,317.1,334.6,445.0,342.1,391.3
余姚市,140.6,215.4,314.0,287.1,74.5,139.6,131.2,0.0,27.4,347.2,321.4,405.4,433.6,406.2,464.1,383.7,321.9,419.4,131.3,136.2,86.8,104.2,108.4,130.2,209.7,189.4,243.2,234.7,82.4,96.8,142.3,92.3,271.0,272.4,207.2,193.3,281.9,198.5,181.8,250.1,377.8,428.1,424.8,333.4,426.4,152.4,159.1,219.0,233.6,159.6,150.5,208.0,279.9,196.7,317.3,317.2,340.7,277.0,364.4,359.8,394.7,506.1,409.3,439.7
慈溪市,80.5,116.0,183.0,145.9,48.7,107.6,111.6,23.8,0.0,194.1,194.2,208.0,219.5,230.7,272.5,199.5,192.9,219.0,120.9,96.6,85.0,101.5,94.9,93.4,124.7,107.3,129.7,241.2,63.2,93.7,88.6,93.2,144.7,299.5,232.2,125.6,307.0,113.6,120.6,162.6,182.1,452.4,204.0,358.6,451.6,79.1,86.7,193.8,253.5,109.6,175.2,142.7,147.2,123.9,169.5,200.1,367.3,184.9,198.5,211.8,206.7,345.8,436.7,269.1
温州市,382.3,334.3,362.3,322.5,338.9,300.7,240.8,347.2,372.2,0.0,26.6,58.8,89.2,96.2,162.3,36.5,46.5,72.5,459.0,474.2,423.8,419.7,449.7,440.0,491.7,437.9,518.5,465.2,343.5,252.9,293.5,262.0,237.8,198.1,270.4,180.5,272.0,237.0,226.2,177.3,315.2,354.9,385.1,282.7,328.5,398.3,439.0,521.8,153.0,211.3,197.0,142.3,118.9,158.2,81.9,138.9,65.1,142.4,231.8,194.4,167.1,249.6,156.8,229.9
